DISTRICT,Trend_Slope
THRISSUR RURAL,2969.7
CHENNAISUBURBAN,2606.4999999999995
SILIGURI_PC,2151.999999999999
TOTAL,2132.301555012383
OUTER,1534.1428571428576
CHENGAI,1476.7
TRIVANDRUM,1321.9999999999995
KOLKATA,1286.5054945054944
ERNAKULAM COMMR.,1220.1223776223774
ERNAKULAM RURAL,1191.1608391608386
SOUTH-EAST,1183.785714285714
MURSHIDABAD,1065.3252747252745
24 PARGANAS SOUTH,989.5659340659339
SURAT COMMR.,988.8516483516484
KOLLAM COMMR.,958.6999999999998
CYBERABAD,892.286713286713
MALAPPURAM,870.123076923077
NORTH-EAST,860.430303030303
ERNAKULAM,829.9999999999995
JAIPUR WEST,810.6
MUMBAI,810.5
NADIA,808.3472527472528
MUMBAI COMMR.,785.0333333333335
24 PARGANAS NORTH,772.9120879120879
CHENNAI,710.2175824175824
PATNA,707.9340659340659
COIMBATORE URBAN,703.0549450549449
INDORE,686.5868131868131
AHMEDABAD COMMR.,628.6648351648353
GUWAHATI CITY,619.8065934065935
GUNTUR URBAN,612.5
ALWAR,554.098901098901
GAUTAMBUDH NAGAR,548.6285714285715
KOTTAYAM,547.0901098901098
KOLLAM RURAL,539.8
PALAKKAD,538.5340659340659
JODHPUR WEST,526.4999999999998
THRISSUR COMMR.,522.5
GURGAON,519.854945054945
GHAZIABAD,514.7758241758241
LUCKNOW,506.7318681318681
TRIVANDRUM COMMR.,503.6258741258739
HOWRAH,481.1813186813187
BARPETA,479.1186813186814
THANE COMMR.,478.61318681318687
UTTAR DINAJPUR,473.5032967032967
PUNE RURAL,450.3362637362637
JALPAIGURI,446.1714285714285
AGAR,442.99999999999983
MEERUT,431.2813186813187
HOWRAH CITY,427.1624713958811
AMROHA,424.99999999999983
VIJAYAWADA CITY,423.20000000000005
PUNE COMMR.,407.2923076923076
YAVATMAL,397.7604395604395
DHUBRI,397.6175824175823
AGRA,397.5274725274726
MOTIHARI,385.3538461538462
HOOGHLY,383.4923076923077
NAGAON,371.8703296703296
MALDA,363.33406593406596
GWALIOR,362.8725274725274
GANDHINAGAR,360.92967032967033
KOZHIKODE,351.99999999999994
NALGONDA,349.88791208791207
ALIGARH,346.04395604395603
EAST,337.08131868131863
PURAB MIDNAPUR,335.2272727272726
GAYA,332.77142857142866
ALLAHABAD,330.6417582417582
JODHPUR EAST,324.49999999999994
KHAMMAM,320.3736263736263
WARANGAL URBAN,319.5000000000001
THIRUNELVELI RURAL,314.92307692307696
MUZAFFARPUR,310.4175824175824
COOCHBEHAR,307.56703296703296
ASANSOL,302.34065934065933
VISAKHAPATNAM,299.1912087912088
KURNOOL,289.0241758241758
THANJAVUR,286.85494505494495
DCP BBSR,285.49999999999994
AHMEDNAGAR,284.9428571428572
JAIPUR EAST,284.23333333333346
RAIPUR,270.7846153846154
DARBHANGA,267.72967032967034
SHAMLI,263.99999999999994
TRIVANDRUM RURAL,260.3776223776223
CUDDAPAH,259.41098901098894
KANPUR NAGAR,253.8549450549451
VILLUPURAM,250.37247386759583
PRAKASHAM,248.30329670329672
ALAPUZHA,247.05714285714282
SITAMARHI,246.73626373626368
HIMATNAGAR,246.510989010989
BHARATPUR,246.22417582417583
PASCHIM MIDNAPUR,244.9720279720279
BANGALORE COMMR.,243.97252747252747
SIWAN,243.34065934065933
NALANDA,242.84835164835164
BELGAUM,242.4835164835165
GORAKHPUR,242.3846153846154
NAVI MUMBAI,241.01098901098894
VIZIANAGARAM,240.77142857142857
HISSAR,235.77142857142857
ANANTAPUR,231.22637362637363
VADODARA COMMR.,229.6648351648352
SIKAR,227.79120879120873
MADHUBANI,225.82857142857142
NIZAMABAD,221.48791208791206
MEDAK,219.60439560439565
KOZHIKODE RURAL,219.562937062937
MAHABOOBNAGAR,219.489010989011
UDAIPUR,219.1516483516483
KANNUR,219.0021978021978
SAMASTIPUR,217.6879120879121
PURNEA,217.21318681318678
PATHANAMTHITTA,217.12087912087912
CUDDALORE,216.45494505494506
SOLAPUR RURAL,216.0307692307692
MADURAI RURAL,212.93956043956047
MATHURA,212.410989010989
SINGRAULI,207.42857142857142
MUNGELI,206.9999999999999
G.R.P.AJMER,201.99999999999997
SOUTH WEST,199.39999999999995
SATARA,198.47472527472527
TIRUPATHI URBAN,196.10000000000002
JABALPUR,194.421978021978
SOUTH-WEST,190.31515151515157
SRIKAKULAM,188.65714285714284
KASARGOD,188.3186813186813
NASIK COMMR.,188.21318681318687
THANE RURAL,186.27252747252746
PALWAL,185.33333333333337
DAUSA,185.00219780219774
JORHAT,184.72747252747257
WEST GODAVARI,182.77582417582414
AURANGABAD COMMR.,181.84615384615384
BALOD,180.99999999999997
THENI,179.88571428571424
ANGUL,178.08351648351652
CHHINDWARA,177.36483516483517
SHIMOGA,177.1494505494506
BHIM NAGAR,176.99999999999991
DCP CTC,176.49999999999994
KARIMNAGAR,175.81538461538463
BHIWANI,174.94505494505495
KRISHNA,174.47252747252747
BAREILLY,173.05494505494505
BEGUSARAI,169.81978021978026
DARRANG,169.68351648351646
MYSORE RURAL,168.17582417582415
SONIPAT,167.21978021978023
AMRAVATI RURAL,166.71648351648355
KAMRUP,164.70329670329667
BEMETARA,161.99999999999991
PANIPAT,161.7802197802198
SARAN,161.67912087912086
KATIHAR,160.4395604395604
BALASORE,158.10109890109888
DURG,157.15604395604396
VAISHALI,156.97802197802196
BHOJPUR,156.84835164835167
MANDYA,156.35824175824175
ROHTAS,154.6989010989011
KUTCH,153.53939393939393
KARNAL,153.25934065934067
KOKRAJHAR,153.17362637362638
KARAULI,152.58901098901097
JALGAON,152.42417582417585
SIBSAGAR,151.05274725274722
NORTH EAST,150.89999999999998
VELLORE,150.7318681318681
DAKSHIN DINAJPUR,150.6417582417582
SATNA,149.42197802197805
HASSAN,149.15164835164836
SALEM RURAL,148.978021978022
BURDWAN,148.7296703296703
VARANASI,148.59120879120877
SONITPUR,148.1054945054945
RAMABAI NAGAR,147.99999999999997
ROHTAK,147.6175824175824
GOPALGANJ,146.70769230769233
NELLORE,146.54065934065932
SAHARSA,146.14285714285714
BARMER,145.3208791208791
CACHAR,144.7868131868132
GOALPARA,144.20439560439564
CENTRAL,143.96703296703296
RAISEN,142.51428571428573
JIND,142.06593406593407
KOTA CITY,141.73333333333335
JODHPUR CITY,141.34285714285716
TINSUKIA,140.24395604395605
REWA,139.82197802197803
NAWADAH,138.88131868131867
GARHWA,138.69450549450548
KOLHAPUR,138.5164835164835
KARIMGANJ,136.2
PALANPUR,135.76373626373626
RAIGARH,135.16483516483515
MANDSAUR,133.70769230769233
BIJNOR,133.60219780219776
JAMSHEDPUR,133.53626373626372
BANKURA,133.10549450549448
BETTIAH,132.82857142857142
DHANBAD,132.79780219780218
BETUL,131.57142857142858
AHMEDABAD RURAL,130.45934065934063
PURI,129.21098901098898
VIDISHA,128.75824175824178
MADHEPURA,128.63516483516483
CBPURA,128.60000000000002
MANGALORE CITY,128.49999999999997
NASIK RURAL,128.1384615384615
DINDORI,126.60879120879123
KHEDA NORTH,126.18131868131864
DHAR,125.6923076923077
HYDERABAD CITY,125.57802197802194
FIROZABAD,125.24395604395603
KANCHIPURAM,123.94945054945056
DIBRUGARH,123.32967032967034
YAMUNANAGAR,122.85494505494509
KONDAGAON,122.49999999999997
JANJGIR,122.1362637362637
GIRIDIH,122.11428571428573
DHOLPUR,121.98021978021977
AURANGABAD,121.85714285714286
AURANGABAD RURAL,121.50549450549453
BIRBHUM,121.36043956043956
REWARI,119.8175824175824
MYSORE COMMR.,119.4835164835165
CHHATARPUR,119.47032967032963
BAHRAICH,119.39999999999999
TUMKUR,119.21428571428572
TRICHY RURAL,118.96153846153844
SAS NGR,118.29761904761907
AMRITSAR RURAL,117.52397260273969
JAJPUR,117.36483516483516
SAGAR,116.76263736263736
SURAT RURAL,116.4967032967033
THIRUVARUR,116.32087912087916
AJMER,115.44175824175824
NARSINGHPUR,115.25054945054946
BHADRAK,115.04835164835164
BOKARO,114.4197802197802
PRATAPGARH,113.5770862800566
NORTH GOA,111.61318681318684
GOLAGHAT,111.34285714285714
BIKANER,111.1846153846154
MEWAT,110.92727272727274
BULANDSHAHAR,110.67692307692307
CSM NAGAR,109.99999999999997
KATNI,109.45274725274724
SAHARANPUR,109.33406593406593
KHAGARIA,108.7098901098901
WEST,108.38827838827838
ADILABAD,106.06153846153845
SUPAUL,105.55604395604396
SIRSA,104.98241758241758
CHANDRAPUR,104.92527472527475
KENDRAPARA,104.8901098901099
BAKSA,103.99999999999994
WAYANADU,103.8945054945055
BUXAR,103.88571428571427
CHITRADURGA,103.77582417582417
MEHSANA,103.5164835164835
IDUKKI,101.82857142857142
MORIGAON,101.49230769230769
SHIVPURI,101.14725274725274
KUTCH (WEST-BHUJ),100.99999999999999
KOLLAM,98.75757575757578
HAMREN,97.99999999999999
ROURKELA,97.71868131868132
GONDA,97.61978021978021
PALI,97.0923076923077
ARARIA,96.65934065934069
UDHAMSINGH NAGAR,95.97362637362636
NAMAKKAL,95.41098901098903
ANUPPUR,95.30069930069929
MUZAFFARNAGAR,94.98681318681318
BHOPAL,93.56483516483516
DINDIGUL,93.43296703296703
RAJAHMUNDRY,92.60000000000001
HOSHANGABAD,92.4131868131868
KUTCH (EAST(G)),91.99999999999997
SAMBALPUR,91.56043956043955
PILIBHIT,90.48351648351648
JAMMU,89.2087912087912
SAWAI MADHOPUR,88.9208791208791
MAHASAMUND,88.43956043956045
BAGAHA,88.34065934065933
DELHI UT TOTAL,88.07692307692307
PARBHANI,87.75164835164836
KANYAKUMARI,85.66593406593408
FATEHPUR,85.4967032967033
ETAWAH,85.24175824175825
NALBARI,85.22637362637361
NAUGACHIA,84.01758241758242
PANCHMAHAL,83.47032967032966
MORADABAD,83.2131868131868
SEONI,82.25714285714287
BORDER DISTRICT,81.99999999999997
JAGATSINGHPUR,81.9076923076923
GARIYABAND,81.79999999999997
DHULE,81.60879120879122
SANGLI,81.58461538461539
ASHOK NAGAR,81.44755244755244
FAIZABAD,80.2
CHURU,79.98901098901098
BHAGALPUR,78.82417582417582
SAHEBGANJ,78.72747252747253
TRICHY URBAN,77.44505494505493
BHATINDA,76.81868131868131
KOTA RURAL,76.81666666666669
KALAHANDI,76.77362637362639
HARDOI,76.22637362637363
RAMPUR,76.03736263736263
RAICHUR,75.24835164835163
HARIDWAR,75.21758241758242
BEED,74.80000000000001
DARJEELING,74.63736263736264
BONGAIGAON,74.24395604395605
HAILAKANDI,74.17582417582418
DEOGHAR,74.14725274725275
AMBALA,74.03636363636366
KANGRA,73.86593406593407
KANNAUJ,73.04835164835164
SANGRUR,72.88351648351647
PALAMU,72.59120879120879
HANUMANGARH,72.49670329670329
JAMUI,72.1912087912088
MAHENDRAGARH,72.14285714285715
JAMNAGAR,72.1252747252747
UDALGURI,71.63636363636365
JHUNJHUNU,71.6043956043956
GANGANAGAR,71.3120879120879
FATEHABAD,70.78901098901099
BANKA,69.47472527472529
SIVAGANGAI,69.09010989010987
JHALAWAR,68.46373626373627
JHAJJAR,67.95604395604397
KISHANGANJ,67.67252747252746
BASKA,67.65546218487395
DHENKANAL,66.32967032967035
UTTAR KANNADA,66.18131868131867
MAINPURI,65.95824175824175
UJJAIN,65.68351648351647
KAUSHAMBI,65.57142857142857
BAGHPAT,65.32087912087913
BOLANGIR,65.16923076923075
