DISTRICT,ARSON_mean,ARSON_std,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_mean,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_std,ATTEMPT TO MURDER_mean,ATTEMPT TO MURDER_std,BURGLARY_mean,BURGLARY_std,CAUSING DEATH BY NEGLIGENCE_mean,CAUSING DEATH BY NEGLIGENCE_std,CHEATING_mean,CHEATING_std,COUNTERFIETING_mean,COUNTERFIETING_std,CRIMINAL BREACH OF TRUST_mean,CRIMINAL BREACH OF TRUST_std,CRUELTY BY HUSBAND OR HIS RELATIVES_mean,CRUELTY BY HUSBAND OR HIS RELATIVES_std,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_mean,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_std,DACOITY_mean,DACOITY_std,DOWRY DEATHS_mean,DOWRY DEATHS_std,HURT/GREVIOUS HURT_mean,HURT/GREVIOUS HURT_std,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_mean,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_std,INSULT TO MODESTY OF WOMEN_mean,INSULT TO MODESTY OF WOMEN_std,KIDNAPPING & ABDUCTION_mean,KIDNAPPING & ABDUCTION_std,MURDER_mean,MURDER_std,OTHER IPC CRIMES_mean,OTHER IPC CRIMES_std,RAPE_mean,RAPE_std,RIOTS_mean,RIOTS_std,ROBBERY_mean,ROBBERY_std,THEFT_mean,THEFT_std,TOTAL IPC CRIMES_mean,TOTAL IPC CRIMES_std
24 PARGANAS NORTH,13.0,13.638181696985855,171.23076923076923,63.479857495841216,118.61538461538461,94.15903077731353,30.615384615384617,20.365569234774906,14.461538461538462,30.071069664533564,184.92307692307693,111.60754270990643,11.76923076923077,6.533935084794437,106.76923076923077,88.723497306852,1474.0,770.4710680270005,81.23076923076923,62.94329967803542,20.615384615384617,8.29194851988423,55.23076923076923,21.471507656092548,146.84615384615384,122.3552520013248,0.6153846153846154,1.5566235649883124,4.230769230769231,3.03188187307944,287.61538461538464,164.14959562420415,189.6153846153846,34.07476696310253,4968.692307692308,1788.9788700361717,153.69230769230768,55.03693398586173,461.15384615384613,241.13096239521175,60.38461538461539,26.678763281989106,1795.076923076923,479.20045588780164,10477.23076923077,3494.8298993858093
24 PARGANAS SOUTH,11.538461538461538,6.552548926631333,126.92307692307692,50.928809035197254,15.76923076923077,33.374525829724895,53.07692307692308,75.65542670386301,37.07692307692308,39.84022577425471,143.30769230769232,120.29712147801973,3.4615384615384617,2.7268841992093167,13.23076923076923,25.64551242795331,1588.4615384615386,871.0665507855504,43.38461538461539,15.419351810514287,16.307692307692307,6.033028749926184,53.15384615384615,9.163752450517144,169.23076923076923,142.53721961073526,0.23076923076923078,0.5991446895152781,1.6153846153846154,1.3867504905630728,200.46153846153845,127.17285833634432,180.0,55.55627777308339,5164.153846153846,1928.5146635927629,185.3846153846154,86.43064508758691,831.3076923076923,676.2758786934249,33.30769230769231,8.957163012403495,1511.6923076923076,542.171618680436,10498.384615384615,4119.84205883473
ADILABAD,33.0,6.883648406522183,159.0,38.99112325014109,72.85714285714286,16.209480335508992,220.35714285714286,33.48388163983275,312.0,65.24981579696961,172.07142857142858,39.67456904077762,2.642857142857143,2.0232168923292906,27.857142857142858,20.92792445461379,355.2857142857143,97.22885656763917,12.928571428571429,2.8410259716216197,5.357142857142857,2.8984649214884253,15.428571428571429,5.359596507692975,1346.2142857142858,552.4219650525561,0.0,0.0,104.5,44.02403189867309,61.785714285714285,18.00503592557701,98.78571428571429,11.84631439879783,1736.2857142857142,413.7751951095089,55.357142857142854,15.911327087026075,79.42857142857143,19.914101249401856,18.428571428571427,10.68222308837866,346.14285714285717,89.39786363206909,5312.571428571428,613.0362913445616
AGAR,12.0,0.0,48.5,10.606601717798213,24.0,9.899494936611665,43.5,14.849242404917497,64.0,1.4142135623730951,10.5,4.949747468305833,0.0,0.0,1.5,0.7071067811865476,37.0,9.899494936611665,0.0,0.0,0.5,0.7071067811865476,1.5,0.7071067811865476,159.5,171.82694782833104,0.0,0.0,4.5,4.949747468305833,18.0,0.0,12.0,9.899494936611665,692.5,198.69700551341987,26.0,2.8284271247461903,18.5,2.1213203435596424,6.0,1.4142135623730951,109.0,46.66904755831214,1430.5,313.2483040656405
AGRA,9.714285714285714,4.427685129319338,128.42857142857142,65.46721350382987,151.07142857142858,29.155984438386376,266.5,91.14548809458424,391.5,132.50065311885476,295.14285714285717,92.90595504872917,19.857142857142858,16.61258625193627,139.07142857142858,27.58334024988017,342.2142857142857,73.39689636220592,37.07142857142857,10.637121398590487,15.857142857142858,10.904178047936437,72.64285714285714,16.90974749780612,428.35714285714283,77.3002210593487,0.0,0.0,68.21428571428571,59.111600542375086,244.85714285714286,115.09451443377851,137.14285714285714,23.17112640553107,1707.2142857142858,460.32299338807553,46.285714285714285,20.393922818135994,294.7857142857143,116.05116813877243,117.28571428571429,68.34801057419702,1946.5714285714287,1032.95920794324,6914.5,2018.6608946755543
AHMEDABAD COMMR.,7.923076923076923,6.70151150191182,76.92307692307692,35.46468087750953,65.07692307692308,24.841033051725585,774.3076923076923,97.81648175314888,180.92307692307693,86.19499360796381,263.6923076923077,63.14848192340627,13.076923076923077,5.376825867578046,238.84615384615384,58.14328014174145,1032.7692307692307,398.13171058628194,7.923076923076923,15.834885214095797,37.46153846153846,54.95394342024871,7.923076923076923,6.2110323680466415,1367.7692307692307,94.36997566860082,0.0,0.0,17.923076923076923,7.308232098822287,212.23076923076923,79.55098349083418,100.0,37.30951621235526,8598.615384615385,2173.7181486438367,47.84615384615385,25.60874249758649,198.84615384615384,130.2778096695968,451.84615384615387,246.83221229337354,4700.307692307692,948.5263469030424,18404.846153846152,2622.538332930962
AHMEDABAD RURAL,14.5,17.403580533459643,22.642857142857142,6.957089829885692,20.714285714285715,14.274391116900285,104.92857142857143,21.225761871672994,295.92857142857144,78.33504401530085,14.571428571428571,5.3308144234800015,3.7142857142857144,2.8128433856309725,50.5,19.350014907567303,109.0,41.56366756601806,1.9285714285714286,2.1290765681316004,11.785714285714286,3.906179944426749,0.8571428571428571,1.8337495365063798,316.14285714285717,114.0093499153989,0.0,0.0,0.07142857142857142,0.2672612419124244,44.07142857142857,21.882428095178547,34.214285714285715,10.785878028012593,1822.857142857143,484.9957743103553,8.571428571428571,4.602913554132121,56.92857142857143,15.132564405761025,28.642857142857142,7.540731885078355,288.0,66.89601574889886,3286.785714285714,608.015963678514
AHMEDNAGAR,43.07142857142857,7.518840803805269,127.85714285714286,62.76801873425809,68.57142857142857,22.527638702147758,454.2142857142857,110.75973898587779,594.7857142857143,116.61453832799128,174.21428571428572,89.95740750396914,6.571428571428571,5.184507775972651,40.92857142857143,10.476818995465,445.14285714285717,138.17094047305602,2.857142857142857,2.10702644491246,40.357142857142854,15.320208588945231,8.142857142857142,9.968080926770076,668.2142857142857,153.76964718566663,0.0,0.0,5.0,9.072358695934167,51.142857142857146,27.349186861367965,102.21428571428571,15.003479449927461,1405.5714285714287,307.234491825109,61.5,20.616460936311586,413.07142857142856,165.79480565571885,154.85714285714286,81.77817758834155,1251.9285714285713,317.31529195028475,6189.5,1299.9848371896792
AHWA-DANG,1.3846153846153846,1.192927878405448,2.769230769230769,2.27866357593825,1.0769230769230769,0.8623164985025763,4.615384615384615,2.754948926884778,19.384615384615383,6.131047511620148,1.7692307692307692,1.832750490103429,0.6923076923076923,0.8548504142651103,1.8461538461538463,1.214231845389905,7.0,4.983305462575351,0.0,0.0,0.38461538461538464,0.6504436355879909,0.07692307692307693,0.2773500981126145,21.384615384615383,7.9638606795370865,0.0,0.0,0.15384615384615385,0.37553380809940534,0.9230769230769231,1.7059473644448735,6.461538461538462,1.7134460703206962,105.07692307692308,49.06366873505883,2.5384615384615383,1.6641005886756874,4.153846153846154,3.3873823188944843,0.6923076923076923,0.7510676161988108,8.76923076923077,4.304142310105583,191.15384615384616,60.45914068449611
AIZAWL,10.5,6.83599072781475,32.642857142857146,12.707400284008607,10.571428571428571,5.214097542893994,197.28571428571428,58.03371509658923,15.357142857142858,10.746070071334076,38.785714285714285,13.717919619290626,5.642857142857143,3.4553669037542796,11.5,5.2146244056794435,3.2857142857142856,2.7576068618270453,2.642857142857143,2.060886398434602,0.6428571428571429,0.928782731664065,0.0,0.0,37.42857142857143,13.46056511394723,0.0,0.0,0.14285714285714285,0.5345224838248488,3.0,2.0,11.5,4.941970955304869,197.35714285714286,158.06503391027044,30.071428571428573,10.723549109063917,1.1428571428571428,2.4133329285815135,4.142857142857143,3.4830831359397854,427.2857142857143,121.21273642867516,1042.0714285714287,316.0239680018722
