,PC1,PC2,PC3
ARSON_mean,0.18571516222233364,-0.18547638622054977,-0.410777305439517
ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY_mean,0.2313519784293786,-0.02544856915434774,-0.23074225546447114
ATTEMPT TO MURDER_mean,0.22570591166612664,-0.1684323570778125,0.08300679283606129
BURGLARY_mean,0.2257822934567345,0.3079784296044046,-0.0582745221925344
CAUSING DEATH BY NEGLIGENCE_mean,0.21370528071424283,-0.01894684827030148,-0.21622979337072773
CHEATING_mean,0.21627193240958975,0.26682348995553185,0.04796171386672041
COUNTERFIETING_mean,0.18581579922593056,0.3313506693015185,0.0960099724079664
CRIMINAL BREACH OF TRUST_mean,0.22074208508627016,0.17281635277429752,0.19581327713557584
CRUELTY BY HUSBAND OR HIS RELATIVES_mean,0.20320856800372358,-0.1913375868977723,-0.055433428632862075
CULPABLE HOMICIDE NOT AMOUNTING TO MURDER_mean,0.17865103863568918,-0.3126729814980513,0.31608836295399045
DACOITY_mean,0.1921862874497856,-0.1475212701381136,0.11364866188725872
DOWRY DEATHS_mean,0.20951940975117744,-0.27763478741897435,0.21452368050579693
HURT/GREVIOUS HURT_mean,0.2173790646328026,0.020343284363593058,-0.3402283055546493
IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES_mean,0.042705248465692444,-0.2536376614704445,0.3392612297279822
INSULT TO MODESTY OF WOMEN_mean,0.17092750347994964,0.11472312570742535,-0.239314667372666
KIDNAPPING & ABDUCTION_mean,0.21977424381388316,-0.05610171793873898,0.25715280160579845
MURDER_mean,0.24264456833791395,-0.1659347725321425,0.09529681408275387
OTHER IPC CRIMES_mean,0.23065202553847397,-0.0031362076265708124,-0.11610298564531908
RAPE_mean,0.23248263394977176,-0.12889957896451293,-0.024341078548382366
RIOTS_mean,0.18188591581749886,-0.26366662342371167,-0.1971359370889009
ROBBERY_mean,0.20757697042254053,0.2602581484420659,0.18269122823679687
THEFT_mean,0.21352877499081763,0.3538630746950492,0.2387196560947799
TOTAL IPC CRIMES_mean,0.2565909742112366,0.09804418552188716,-0.05063845547833782
